Content,Comments,Number of Comments
"Üniversitemiz Lisansüstü Eğitim Enstitüsü ile TESYÖN (Uluslararası Tesis Yöneticileri Derneği) arasında protokol imzalandı. TESYÖN ""Uluslararası Tesis Yöneticileri Derneği""",,0
"Tübitak Uzay ve Türkiye Uzay Ajansı NeoTech Campus’te! Öğr. Gör. Oğuzhan Aydemir’in 2 Türk Astronotumuzun da katılımı ile gerçekeştirdiği eğitim, Tübitak Uzay ve Türkiye Uzay ajansı yetkilileri ile NeoTech Campus’te gerçekleşti.",,0
2023 yılı “Mekanda Erişebilirlik Turuncu Bayrak Ödülü” aldık! #nisantasiuniversity #eğitimdefırsateşitliği,,0
Güz dönemi yatay geçiş başvuruları başladı! 🚨 👉Detaylı bilgi için https://lnkd.in/dyRJVNRM #yataygeçişbaşvuruları #nisantasiuniversity,,0
ICMARTGRID 2023 Konferansı ile Paris’teyiz! Detaylı bilgi: https://lnkd.in/dcPhB2nZ #ıcmartgrıd #smartgrid,,0
Öğretim üyemiz Dr. Hakan Tan’ın “Dijital Dalgalar Dönüşüm: Cilt 2” adlı eseri yayımlandı. Dr. Hakan TAN,,0
"4. Uluslararası Nörobilim ve Tıp Kongresi’nde 2. Gün! Kongre, konuşmacılarımız ile genç araştırmacıların kurs, panel ve konferansları ile devam ediyor. Farklı alanlara yer vererek, alanlar arasında iş birliği sağlıyor. Disiplinlerarası Beyin Araştırmaları Derneği (DABAD) #nörobilimkongresi",,0
"Disiplinler Arası Beyin Araştırmaları Derneği tarafından bu yıl dördüncüsü düzenlenen 4. Ulusal Nörobilim Tıp Kongresi NeoTech Campus’te 7 farklı salonda aynı anda, ülkemizde ve tüm dünyada sinirbilimi alanında çalışmalar yürüten uzman konuşmacılar ile gerçekleşiyor. Disiplinlerarası Beyin Araştırmaları Derneği (DABAD)",,0
“4. Ulusal Nörobilim ve Tıp Kongresi 2. Beyin Festivali” alanında uzman birbirinden değerli konuklar eşliğinde 3-4 Haziran tarihlerinde NeoTech Campus’te gerçekleşecektir. Detaylı Bilgi: https://lnkd.in/dJSvS2qQ #nörobilimkongresi @ugurbati,,0
"Şampiyonumuz NeoTech Campus’te! 🌟 Öğrencimiz Buket Gülübay’ı, VakıfBank Kadın Voleybol Takımı ile kazandığı Şampiyonlar Ligi kupası sonrası üniversitemizde ağırladık. 🏆 Bize bu gururu yaşattığı için teşekkür ederiz. 👏🏻🧡 #vakifbanksk #neotechcampus",,0
"Öğrencimiz Buket Gülübay’ı, VakıfBank Kadın Voleybol Takımı ile kazandığı Şampiyonlar Ligi kupası sonrası üniversitemizde ağırladık. Bize bu gururu yaşattığı için kendisine teşekkür ediyoruz. ✨🧡 @BuketGlbay @VakifBankSK",Tebrikler,1
"Silivri Belediye Başkanı Volkan Yılmaz, Kültür ve Turizm Bakan Yardımcısı Ahmet Misbah Demircan, Rektörümüz ile birlikte Silivri kampüsümüzdeki Sanat Merkezi’ni yerinde ziyaret etti. @TCKulturTurizm @AhmetMisbah @BBvolkanyilmaz",,0
📣,,0
📣 Güz Dönemi Bütünleme Sınavlarının Mazeretleri 30 Mayıs 2023-02 Haziran 2023 tarihleri arasında Sanal Kampüs üzerinden yapılacaktır.,,0
Üst üste 5. kez Türkiye Şampiyonu! @NishSportif,,0
"Atatürk’ün ışığında, onun gösterdiği hedefte geleceğin zeki, çevik ve ahlaklı sporcularını yetiştirerek ilerliyoruz. 19 Mayıs Atatürk’ü Anma Gençlik ve Spor Bayramımız Kutlu Olsun! #19MayısGenclikveSporBayramı",Benim naçiz bedenim elbet bir gün toprak olacaktır ancak Türkiye Cumhuriyeti ilelebet payidar kalacaktır mütevazılığını gösteren Büyük Önder  Mareşal Gazi Mustafa Kemal ATATÜRK ü saygı ve özlemle anarken; Diğer yanda; * Bütün ümidim gençliktedir. * Gençliği yetiştiriniz  gençlere  ilim ve irfanın müspet fikirlerini veriniz  geleceğin aydınlığına  gençlerle kavuşacaksınız  hür fikirler uygulamaya geçtiği vakit  Türkiye yükselmeye başlayacaktır. * Ey Türk Gençliği! Muhtaç olduğun kudret  damarlarındaki asil kanda mevcuttur  şiarıyla gençliğe hediye ettiği Gençlik ve Spor Bayramımızı Kutluyorum. Ne Mutlu Türk üm Diyene!🇹🇷,1
Öğretim Üyemiz Doç. Dr. Füsun Naz Altınel’in kitabı “Romantik Dönem ve Viyola Sonatlarına Müzikal ve Teknik Bakış” yayımlandı!,,0
Kariyerin için yüksek düşün! 👉2023-2024 Güz Dönemi Yüksek Lisans ve Doktora Başvuruları Başladı Detaylı bilgi: https://lnkd.in/dVGmz_PF,,0
📣 #duyuru #announcement,,0
Sayısız birçok ilki sizinle beraber yaşıyoruz. Hayat boyu yanımızda olan ilk öğretmenimiz olduğunuz için teşekkür ederiz. 💖 #SizdenÖğrenecekÇokŞeyVar #AnnelerGününüzKutluOlsun,,0
"Hemşireler Haftasını, Hemşirelik Bölümü öğrencilerimiz ile staj yaptıkları hastanede kutladık. Büyük bir emek ve fedakarlıkla çalışan, insan sevgisini her zaman kalbinde taşıyan tüm hemşirelerin #HemşirelerHaftasıKutluOlsun #BizimHemşirelerimizBizimGeleceğimiz",,0
Üniversitemiz Türkiye’nin Yazılım İhracatı Lideri “Orion Innovation Türkiye” ile iş birliği anlaşması imzaladı.,,0
"Erkek Masa Tenisi Takımımızın Üniversiteler Arası Avrupa Şampiyonasında art arda 3 kez Avrupa Şampiyonu, 4 kez üst üste Türkiye Şampiyonu olduğunu biliyor musun? 🙌 @nishsportif #nisantasiuniversity",,0
"Üniversitemiz tarafından oluşturulan ve Bilimsel Projeler Koordinasyon Birimi tarafından desteklenerek, İktisadi İdari ve Sosyal Bilimler Fakültesi yürütücülüğünde gerçekleştirilen ‘’ Güçlü Kadınlar Yollarda ‘’ projesinin Açılış Toplantısını gerçekleştirdik. Güçlü Kadınlar Yollarda",,0
"Üniversitemiz tarafından düzenlenen, T.C. Kültür ve Turizm Bakanlığı Sinema Genel Müdürlüğü tarafından desteklenen, sinema sektöründen duayen isimlerin katıldığı sinema söyleşilerinin yer aldığı değerli hocamız Doç. Dr. Nagihan Çakar’ın direktörlüğünde gerçekleşen 2. TAYF Uluslararası Kısa Film Festivali’mizin galasında 4 kategoride 12 ödül sahiplerini buldu. Gençlerin kendilerini ispat etmelerine olanak tanıyan, kendi hikayesini ortaya koyan ve bu süreci destekleyen değerli katılımcılarımıza sonsuz teşekkür ederiz.🙏 @sinemagenelmd @tckulturturizm @tayffilm @nagihanncakar",,0
"Üniversitemiz tarafından düzenlenen 2. TAYF Uluslararası Kısa Film Festivali, 24-27 Nisan tarihleri arasında NeoTech Campus’te gerçekleşti. 125 ülkeden toplamda 3221 filmin başvurduğu festivalin kazanan filmleri ödüllerine kavuştu. Kültür Bakanlığı nın da desteklediği TAYF Uluslararası Kısa Film Festivali’nin direktörlüğünü değerli hocamız Doç. Dr. Nagihan Çakar üstlenirken, birçok değerli isim üniversitemizde gerçekleşeden gala ve ödül gecesine katıldı. Değerli katılımları ve katkılarından dolayı çok teşekkür ederiz. 🙏 #TayfUluslararasıKısaFilmFestivali @sinemagenelmd @tckulturturizm @tayffilmfest",,0
Avantajlı Kayıt Yenileme Son Fırsat! 👉Son Tarih: 30 Mayıs https://lnkd.in/dE9bMN68,,0
