Content,Comments,Number of Comments
"Tübitak Uzay ve Türkiye Uzay Ajansı Neotech Campus’te! Öğr. Gör. Oğuzhan Aydemir’in 2 Türk Astronotumuzun da katılımı ile gerçekleştirdiği eğitim, Tübitak Uzay ve Türkiye Uzay ajansı yetkilileri ile NeoTech Campus’te gerçekleşti.",,0
Sarıyer’de Kızılay’a rekor kan bağışı yapan kurum olmaktan gurur duyuyoruz!,,0
Güz dönemi yatay geçiş başvuruları başladı! 🚨 ,,0
2023 yılı “Mekanda Erişebilirlik Turuncu Bayrak Ödülü” aldık!,,0
📣,What’s the deadline for new student registration ?,1
📣,,0
📣,,0
📣,,0
ICMARTGRID 2023 Konferansı ile Paris’teyiz! Detaylı bilgi: https://icsmartgrid.org,,0
Öğretim üyemiz Dr. Hakan Tan’ın “Dijital Dalgalar Dönüşüm: Cilt 2” isimli eseri yayımlandı.,,0
"4. Uluslararası Nörobilim ve Tıp Kongresi’nde 2. Gün! Kongre, konuşmacılarımız ile genç araştırmacıların kurs, panel ve konferansları ile devam ediyor. Farklı alanlara yer vererek, alanlar arasında iş birliği sağlıyor.",,0
"Disiplinler Arası Beyin Araştırmaları Derneği tarafından bu yıl dördüncüsü düzenlenen 4. Ulusal Nörobilim Tıp Kongresi NeoTech Campus’te 7 farklı salonda aynı anda, ülkemizde ve tüm dünyada sinirbilimi alanında çalışmalar yürüten uzman konuşmacılar ile gerçekleşiyor.",,0
“4. Ulusal Nörobilim ve Tıp Kongresi 2. Beyin Festivali” alanında uzman birbirinden değerli konuklar eşliğinde  3-4 Haziran tarihlerinde NeoTech Campus’te gerçekleşecektir. Detaylı Bilgi: http://4.norobilimkongresi.org,,0
DGS Başvuruları Başladı!,,0
Avantajlı Kayıt Yenileme Son Fırsat! 👉Son Tarih: 30 Mayıs https://nisantasi.edu.tr/duyuru/erken-kayit-duyurusu-hk-957787,,0
Şampiyonumuz NeoTech Campus’te! 🌟 ,Herkes ağırlandı ama o okulda bir öğrenciler ağırlanamadı yazık.,1
"Öğrencimiz Buket Gülübay’ı, VakıfBank Kadın Voleybol Takımı ile kazandığı Şampiyonalar Ligi kupası sonrası üniversitemizde ağırladık. Bize bu gururu yaşattığı için kendisine teşekkür ediyoruz. ✨🧡",,0
İstanbul’un Fethi’nin 570. Yıl Dönümü Kutlu Olsun!,,0
"Silivri Belediye Başkanı Volkan Yılmaz, Kültür ve Turizm Bakan Yardımcısı Ahmet Misbah Demircan, Rektörümüz ile birlikte Silivri kampüsümüzdeki Sanat Merkezi’ni yerinde ziyaret etti.",,0
Avantajlı Kayıt Yenileme Son Fırsat! 👉Son Tarih: 30 Mayıs https://nisantasi.edu.tr/duyuru/erken-kayit-duyurusu-hk-957787,,0
📣,,0
📣 Güz Dönemi Bütünleme Sınavlarının Mazeretleri 30 Mayıs 2023-02 Haziran 2023 tarihleri arasında Sanal Kampüs üzerinden yapılacaktır.,"Harikasın nişantaşı üniversitesi  👏 ❤️ öğrencisini mağdur etmeyen tek üniversitesite, Finaller içinde aynı özveriyi bekliyoruz ❤️",2
Üst üste 5. kez Türkiye Şampiyonu!,,0
"Atatürk’ün ışığında, onun gösterdiği hedefte geleceğin zeki, çevik ve ahlaklı sporcularını yetiştirerek ilerliyoruz. 19 Mayıs Atatürk’ü Anma Gençlik ve Spor Bayramımız Kutlu Olsun!",,0
Öğretim Üyemiz Doç. Dr. Füsun Naz Altınel’in kitabı “Romantik Dönem ve Viyola Sonatlarına Müzikal ve Teknik Bakış” yayımlandı!,,0
Kariyerin için yüksek düşün! 👉2023-2024 Güz Dönemi Yüksek Lisans ve Doktora Başvuruları Başladı Detaylı bilgi: https://lee.nisantasi.edu.tr,,0
Kütüphanemiz ile ilgili sıkça sorulan soruları cevapladık. 📚 ❔,,0
📣,"peki neden?, To the end of the semester?, BİR DE SINAVLAR ONLİNE OLURSA KEŞKE",3
Sayısız birçok ilki sizinle beraber yaşıyoruz. Hayat boyu yanımızda olan ilk öğretmenimiz olduğunuz için teşekkür ederiz. 💖 #SizdenÖğrenecekÇokŞeyVar,,0
"Hemşireler Haftasını, Hemşirelik Bölümü öğrencilerimiz ile staj yaptıkları hastanede kutladık. Büyük bir emek ve fedakarlıkla çalışan, insan sevgisini her zaman kalbinde taşıyan tüm hemşirelerin #HemşirelerHaftasıKutluOlsun ",Bizim öğrecilerimiz; bizim geleceğimiz.🇹🇷,1
Avantajlı Kayıt Yenileme Son Fırsat! 👉Son Tarih: 30 Mayıs https://nisantasi.edu.tr/duyuru/erken-kayit-duyurusu-hk-957787,,0
Üniversitemiz Türkiye’nin Yazılım İhracatı Lideri “Orion Innovation Türkiye” ile iş birliği anlaşması imzaladı.,,0
"Erkek Masa Tenisi Takımımızın Üniversiteler Arası Avrupa Şampiyonasında art arda 3 kez Avrupa Şampiyonu, 4 kez üst üste Türkiye Şampiyonu olduğunu biliyor musun? 🙌",,0
"Üniversitemiz tarafından oluşturulan ve Bilimsel Projeler Koordinasyon Birimi tarafından desteklenerek, İktisadi İdari ve Sosyal Bilimler Fakültesi yürütücülüğünde gerçekleştirilen ‘’ Güçlü Kadınlar Yollarda ‘’ projesinin Açılış Toplantısını gerçekleştirdik.",,0
"Üniversitemiz tarafından düzenlenen, T.C. Kültür ve Turizm Bakanlığı Sinema Genel Müdürlüğü tarafından desteklenen, Doç. Dr. Nagihan Çakar’ın direktörlüğünde gerçekleşen 2. TAYF Uluslararası Kısa Film Festivali’mizin galasında 4 kategoride 12 ödül sahiplerini buldu.",,0
"Üniversitemiz tarafından düzenlenen 2. TAYF Uluslararası Kısa Film Festivali, 24-27 Nisan tarihleri arasında NeoTech Campus’te gerçekleşti. 125 ülkeden toplamda 3221 filmin başvurduğu festivalin kazanan filmleri ödüllerine kavuştu. +++",,0
"Kültür Bakanlığı nın da desteklediği TAYF Uluslararası Kısa Film Festivali’nin direktörlüğünü değerli hocamız Doç. Dr. Nagihan Çakar üstlenirken, birçok değerli isim üniversitemizde gerçekleşeden gala ve ödül gecesine katıldı.",,0
Değerli katılımları ve katkılarından dolayı çok teşekkür ederiz. 🙏,,0
Avantajlı Kayıt Yenileme Son Fırsat! 👉Son Tarih: 30 Mayıs https://nisantasi.edu.tr/duyuru/erken-kayit-duyurusu-hk-957787,,0
Üniversitemiz İktisadi İdari ve Sosyal Bilimler Fakültesi tarafından yürütülmekte olan ve Bilimsel Projeler Koordinasyon Birimi tarafından desteklenen +++.,,0
"‘Güçlü Kadınlar Yollarda Projesi’ 4 Mayıs 2023 Perşembe günü okulumuzda, saat 10.00-12.00 saatleri arasında Senato Odası’nda gerçekleştirilecektir. ",,0
"""Küçük hanımlar, küçük beyler... Sizler hepiniz, geleceğin bir gülü, yıldızı, bir bahtının aydınlığısınız"" 🎈 -Mustafa Kemal Atatürk",,0
"Birlik, beraberlik ve huzur dolu nice bayramları hep birlikte geçirmek dileğiyle #RamazanBayramınızKutluOlsun İyi bayramlar 🍬🌸",,0
