Content,Comments,Number of Comments
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ ÖĞRENCİ DEKANLIĞI EKİBİ HERKESE İYİ YILLAR DİLER❤️🏆,We wish you a year full of health joy and happiness 🤞💚🥰,1
"İstanbul Nişantaşı Üniversitesi Öğrenci Dekanlığı, Bilgisayar Destekli Mühendislik kulübü olarak ""Eklemeli İmalat ve Üretim Yöntemleri"" etkinliği gerçekleştirdik. 3D model tasarımından üretim yöntemlerine dek uzanan oldukça kapsamlı bir etkinliği geride bıraktık. Katılanlara ve destek olanlara teşekkürlerimizi sunarız.",,0
"İstanbul Nişantaşı Üniversitesi Öğrenci Dekanlığı Ekonomi Kulübü olarak, Dr. Öğr. Üyesi Aliye Saraç ile üniversitemiz onaylı sertifikalı Excel eğitim programının ilk haftasını gerçekleştirdik.",,0
İstanbul Nişantaşı Üniversitesi Longboard ve Surf kulübü olarak Şile de Tula surf ile beraber surf etkinliği gerçekleştirdik.,,0
6-10 Nisan 2023 tarihlerinde Romanya’da katılmış olduğumuz Erasmus Generation Meeting de yaptığımız projeleri bu platforma taşıyabilen tüm kategorilere başvuran ilk şube olduk ve “Safety Awards” kategorisinde 41 farklı ülkeden 56 başvuru arasında ESN Nişantaşı olarak ödül almaya hak kazandık.,We are stronger when we come together  and We want to express my gratitude for your invaluable help. Your support has been a constant source of strength for us  and we could not have achieved what we have without you ❤️‍🔥🫶,1
"SAYIN NİŞANTAŞI EĞİTİM VAKFI KURUCUMUZ DR. LEVENT UYSAL’A , GENEL SEKRETERİMİZ AHMET SÜNGERİÇLİOĞLUNA, KULÜP BAŞKANLARIMIZA VE EKİPLERİNE, TÜM ÖĞRENCİLERİMİZE,TÜM AKADEMİK VE İDARİ KADROMUZA ÇOK TEŞEKKÜR EDERİZ.",,0
İstanbul Nişantaşı Üniversitesi Sağlık Kültür ve Spor Daire Başkanlığının düzenlemiş olduğu NİSHCUP 22 6v6 Voleybol turnuvasına katılan 20 takım arasında kar fırtınası şampiyon olmuştur. Beş gün süren müsabakalar sonucunda bugün yapılan final karşılaşması kar fırtınası ve avengers arasında olmuştur. Turnuvaya katılan tüm öğrencilerimize ve takımlara teşekkür ederiz.,,0
"İstanbul Nişantaşı Üniversitesi Engelli Öğrenci Birimimiz,Çocuklara Yardım Kulübü ve ESN Kulübümüz özel ihtiyaç sahibi çocuklarımızın okuluna kitap bağışında bulundu. Katılım sağlayan tüm üyelerimize teşekkür ederiz. Hayat paylaşınca güzel 🌸",,0
İstanbul Nişantaşı Üniversitesi Öğrenci Dekanlığı Havacılık Kulübümüzün düzenlemiş olduğu 14. Havacılık Zirvesi etkinliğine katılım sağlayan herkese teşekkürlerimizi sunuyoruz.,,0
Sağlık Hizmetleri Meslek Yüksek Okulu ve Doğayı ve Hayvanları Koruma Kulübü müzün düzenlediği söyleşiye katkıda bulunan tüm katılımcılarımıza teşekkür ederiz.,,0
